folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p7,p7_3,p8_1,p8_2,p9,p10,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p13,p13_3,p14_1,p14_2,p15,p16,p17,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p26,p27,p28,p29,p30,p31,p32,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl,material_leido,cond_act_segmentado,nivel_segmentado
11A208,7,40239,4,1,0,1,19,223,1,64,3,2,1,1,2,1,1,2,2,2,3,5,2,2,1,2,2,2,3,100,2,1,1,3,5,2,2,2,2,1,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,2,1,0,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,18365,3,2,1,2,2,0,1,6,2,1
11A208,7,40239,3,1,0,1,19,223,1,35,3,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,1,1,1,1,2,1,2,68390,4,4,2,0,0,0,2,0,2,1
11A208,7,40239,2,1,0,3,19,223,1,29,4,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,2,2,2,2,1,2,2,0,2,1,2,2,4,2,1,2,2,1,2,0,2,1,2,15,2,0,2,2,2,0,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,88257,1,3,1,0,2,2,1,3,2,1
11A208,7,40239,1,1,0,3,19,223,2,21,4,3,6,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,3,300,2,1,1,2,4,2,2,2,2,2,2,2,1,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,3,3,1,0,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,47249,1,2,1,2,2,0,1,4,1,1
11B215,7,40324,3,1,0,1,19,223,1,33,4,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,29137,4,4,2,0,0,0,2,0,2,1
11B215,7,40324,2,1,0,1,19,223,1,38,7,4,1,1,1,1,2,2,2,1,1,3,2,2,2,1,2,2,3,200,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,4,4,1,0,1,2,2,2,2,2,2,0,2,0,1,1,1,1,1,15052,1,2,1,2,0,0,1,1,2,2
11B201,7,40367,3,1,0,2,19,223,2,47,6,4,7,1,1,1,2,2,2,2,3,4,1,1,1,2,2,2,3,300,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,3,1,0,2,1,2,2,2,2,2,0,2,0,1,1,1,1,1,27028,1,1,1,2,0,0,1,3,0,1
11B201,7,40367,4,1,0,1,19,223,1,51,2,4,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,800,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,2,1,0,1,2,2,2,2,2,2,0,2,0,1,1,1,1,1,43722,1,2,1,2,2,0,1,4,2,0
11B201,7,40367,1,1,0,2,19,223,2,48,4,3,1,1,1,1,2,2,2,1,6,1,2,2,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,2,3,2,0,1,1,2,1,1,1,1,2,1,5,1,2,2,2,1,18019,1,2,1,3,0,0,1,6,2,1
11B201,7,40367,2,1,0,1,19,223,2,66,2,4,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,1,1,1,1,2,2,2,30700,4,4,2,0,0,0,2,0,0,0
