edad,sexo,entidad,nivel_segmentado,cond_act_segmentado,p26
44,1,Sur,0,2,0
36,2,Sur,1,2,45
46,2,Sur,2,2,30
63,2,Sur,2,0,25
28,1,Sur,2,2,45
55,2,Sur,1,2,0
59,1,Sur,0,0,0
50,1,Sur,1,2,0
51,2,Sur,1,2,60
52,1,Sur,1,2,0
41,1,Sur,1,2,0
60,2,Sur,1,2,60
24,1,Sur,1,2,60
32,1,Sur,1,2,0
75,2,Sur,1,0,0
47,1,Sur,1,2,0
44,2,Sur,1,2,0
58,2,Sur,1,2,0
28,2,Sur,1,2,0
66,1,Sur,0,0,0
54,1,Sur,1,2,0
39,2,Sur,2,2,20
18,2,Sur,1,2,120
37,2,Sur,1,2,20
35,1,Sur,1,2,10
35,2,Sur,1,2,30
47,2,Sur,2,2,30
30,2,Sur,1,2,5
21,2,Sur,1,2,15
30,2,Sur,1,2,0
69,2,Sur,0,2,30
53,1,Sur,1,2,0
74,1,Sur,0,0,0
53,1,Sur,1,2,30
79,2,Sur,0,2,15
63,1,Sur,0,2,0
42,2,Sur,2,0,20
47,2,Sur,1,2,10
55,2,Sur,1,0,10
36,2,Sur,2,2,120
24,2,Sur,1,0,15
38,2,Sur,2,0,15
62,2,Sur,1,0,10
65,2,Sur,1,0,30
34,2,Sur,2,2,20
26,1,Sur,1,2,30
40,1,Sur,1,2,5
56,2,Sur,2,0,10
64,2,Sur,0,0,5
43,1,Sur,2,2,60
65,1,Sur,0,2,0
58,1,Sur,1,2,0
34,1,Sur,1,2,20
76,2,Sur,1,0,10
39,1,Sur,2,2,20
53,1,Sur,0,2,60
75,2,Sur,0,2,0
21,2,Norte,2,1,60
24,1,Norte,2,2,0
55,2,Norte,2,2,30
23,2,Norte,2,2,120
53,2,Norte,0,2,0
22,1,Norte,1,2,0
35,2,Norte,1,2,20
64,1,Norte,1,0,0
52,2,Norte,1,2,120
51,2,Norte,1,2,0
41,1,Norte,1,2,30
55,2,Norte,1,2,0
34,1,Norte,2,2,30
43,2,Norte,1,2,0
21,1,Norte,2,1,0
44,1,Norte,1,2,0
38,2,Norte,2,2,30
19,1,Norte,2,1,30
22,2,Norte,2,2,120
31,2,Norte,1,2,30
60,2,Norte,0,2,0
37,2,Norte,2,2,60
24,2,Norte,2,2,0
24,1,Norte,2,2,60
26,1,Norte,2,1,0
58,1,Norte,2,0,40
21,1,Norte,2,2,15
62,2,Norte,0,0,30
56,1,Norte,1,2,0
76,2,Norte,0,0,0
25,1,Norte,2,2,0
53,1,Norte,2,2,60
48,2,Norte,2,2,0
51,1,Norte,2,2,0
20,2,Norte,2,1,0
65,2,Norte,1,0,30
51,1,Norte,1,2,0
24,1,Norte,2,2,30
40,2,Norte,2,2,0
51,2,Norte,1,0,20
62,2,Norte,1,2,20
52,2,Norte,1,2,40
18,2,Norte,2,1,120
70,2,Norte,1,0,20
64,2,Norte,2,0,120
38,1,Norte,1,2,60
83,2,Norte,0,0,0
65,1,Norte,1,2,35
41,1,Norte,1,2,30
51,2,Norte,0,2,0
52,1,Norte,1,2,30
60,2,Norte,1,0,20
30,1,Norte,1,2,40
25,1,Norte,1,2,45
31,2,Norte,1,2,30
37,1,Norte,0,2,15
25,1,Norte,1,2,30
37,1,Norte,1,0,0
65,2,Norte,2,0,25
56,2,Norte,1,0,90
70,2,Norte,1,0,15
57,2,Norte,1,0,30
20,1,Norte,2,2,25
41,1,Norte,1,2,30
35,1,Norte,2,2,35
38,2,Norte,1,0,0
48,1,Norte,1,2,20
53,2,Norte,1,2,60
40,1,Norte,2,2,0
64,2,Norte,1,0,0
60,2,Norte,1,0,15
40,2,Norte,2,2,30
64,1,Norte,2,2,0
53,2,Norte,2,2,30
46,2,Norte,1,2,30
58,2,Norte,1,0,60
50,2,Norte,2,2,15
44,1,Norte,1,2,0
34,1,Norte,1,2,0
62,1,Norte,2,0,30
36,2,Norte,2,2,60
39,1,Norte,1,2,60
58,2,Norte,1,2,10
56,2,Norte,1,0,0
40,1,Norte,1,2,15
48,2,Norte,1,2,0
55,2,Norte,2,0,15
48,2,Norte,2,2,0
28,2,Norte,2,2,25
44,2,Norte,2,0,35
41,1,Norte,2,2,40
45,1,Norte,2,2,25
47,1,Norte,2,2,35
54,1,Norte,2,2,20
32,1,Norte,1,2,30
65,2,Norte,1,0,0
46,1,Norte,1,2,30
26,2,Norte,2,2,30
24,1,Norte,2,2,30
75,1,Norte,0,0,60
26,2,Norte,2,1,60
35,1,Norte,1,2,30
33,2,Norte,0,2,20
54,1,Norte,1,2,20
65,1,Norte,0,2,20
46,1,Norte,0,2,25
39,2,Norte,2,2,60
70,1,Norte,1,0,0
83,2,Norte,0,0,0
62,2,Norte,0,0,0
61,2,Norte,1,2,0
38,1,Norte,1,2,20
53,2,Norte,1,2,25
26,1,Norte,1,2,90
58,2,Norte,1,2,0
55,1,Norte,1,2,0
92,1,Norte,0,0,0
36,2,Norte,2,2,30
29,2,Norte,2,1,40
59,2,Norte,2,0,35
59,2,Norte,1,0,30
31,1,Norte,1,1,10
35,2,Norte,2,0,45
44,2,Norte,1,2,20
36,2,Norte,2,2,60
29,2,Norte,2,2,90
57,2,Norte,2,0,0
61,2,Norte,2,2,40
61,1,Norte,2,0,20
77,2,Norte,0,0,20
38,2,Norte,1,0,35
63,1,Norte,1,1,40
76,2,Norte,0,0,0
74,1,Norte,1,0,120
88,2,Norte,0,0,0
56,1,Norte,1,2,90
53,1,Norte,1,2,15
48,1,Norte,2,2,25
53,2,Norte,1,2,0
54,2,Norte,2,2,15
79,2,Norte,2,0,15
77,1,Norte,2,0,0
79,2,Norte,0,0,10
46,2,Norte,1,0,10
66,2,Norte,2,2,45
38,2,Norte,1,0,30
67,2,Norte,0,0,0
44,1,Norte,1,2,60
36,1,Norte,1,2,0
30,1,Norte,1,2,60
57,2,Norte,1,2,90
69,2,Norte,1,0,30
33,2,Norte,2,2,20
68,2,Norte,0,2,0
28,1,Norte,1,2,20
32,2,Norte,1,2,30
35,1,Norte,2,2,30
39,2,Norte,2,1,25
59,2,Norte,2,2,0
33,2,Norte,2,0,0
25,2,Norte,2,2,0
31,1,Norte,1,2,0
30,1,Norte,2,2,0
21,2,Norte,2,2,0
32,2,Norte,2,2,60
51,1,Norte,2,2,0
67,2,Norte,1,0,30
55,2,Norte,1,2,20
44,1,Norte,2,2,45
26,1,Norte,2,2,0
79,2,Norte,0,0,20
40,2,Norte,1,0,0
33,2,Norte,1,2,30
55,1,Norte,1,2,15
43,2,Norte,1,2,60
33,2,Norte,2,0,30
31,2,Norte,1,0,30
37,1,Norte,2,2,30
21,1,Norte,2,2,25
83,2,Norte,0,0,0
37,1,Norte,1,2,30
75,2,Norte,0,0,0
38,2,Norte,1,2,35
62,2,Norte,1,2,0
45,1,Norte,2,2,25
63,1,Norte,1,0,0
56,1,Norte,0,2,0
25,2,Norte,2,1,35
48,1,Norte,1,2,30
33,1,Norte,1,2,20
48,2,Norte,1,2,0
60,2,Norte,1,0,30
41,1,Norte,2,1,25
35,2,Norte,2,2,35
66,2,Norte,1,2,60
85,2,Norte,1,0,120
60,2,Norte,2,2,70
20,1,Norte,2,1,30
68,1,Norte,1,0,30
54,2,Norte,2,2,60
29,1,Norte,2,2,0
55,2,Norte,1,0,0
32,2,Norte,2,2,15
65,1,Norte,2,2,30
48,1,Norte,1,2,30
25,2,Norte,1,2,30
41,1,Norte,1,2,20
66,1,Norte,1,0,0
59,1,Norte,1,2,0
49,1,Norte,1,2,30
58,1,Norte,1,2,20
26,1,Norte,2,2,40
30,2,Norte,1,0,20
25,2,Norte,0,0,20
70,2,Norte,1,0,0
58,2,Norte,0,0,0
51,2,Norte,1,2,15
55,1,Norte,1,2,30
42,2,Norte,1,0,30
43,1,Norte,1,2,0
28,2,Norte,1,0,30
71,2,Norte,1,2,0
57,1,Norte,2,2,120
25,1,Norte,1,2,30
65,2,Norte,1,0,0
42,2,Norte,1,0,20
70,1,Norte,2,0,0
34,1,Norte,1,2,0
60,1,Norte,1,0,0
43,2,Norte,1,2,10
50,2,Norte,1,2,0
33,1,Norte,1,2,0
52,2,Norte,1,0,20
70,1,Norte,1,2,0
50,1,Norte,1,2,0
84,1,Norte,0,0,0
60,2,Norte,1,0,20
59,1,Norte,1,2,25
56,2,Norte,2,2,0
51,1,Norte,1,2,30
77,2,Norte,0,0,60
61,2,Norte,2,0,30
70,2,Norte,0,0,0
72,1,Norte,1,0,30
53,1,Norte,2,2,20
39,1,Norte,1,2,60
46,2,Norte,1,0,30
76,2,Norte,0,0,0
73,2,Norte,0,0,0
76,2,Norte,0,0,30
35,1,Norte,2,2,30
62,1,Norte,1,2,0
59,1,Norte,1,2,30
45,2,Norte,1,2,35
